threads,sequential_time,parallel_time,speedup,efficiency
1,8.762018,8.645671,1.013457,1.013457
2,8.809373,4.819477,1.827869,0.913934
4,8.715507,3.143680,2.772390,0.693098
8,9.312314,2.591758,3.593049,0.449131
16,8.795797,2.446484,3.595281,0.224705
